order,wave_start,wave_end,flag
12,4315.50,4387.50,
13,4370.84,4443.76,
14,4427.61,4501.48,
15,4485.89,4560.73,
16,4545.72,4621.54,
19,4735.16,4814.15,
20,4801.86,4881.95,
21,4870.46,4951.7,
22,4941.05,5023.45,
23,5013.72,5097.35,
24,5088.56,5173.41,
25,5165.64,5251.79,
26,5245.11,5332.58,
27,5327.07,5415.92,
28,5411.62,5501.85,
29,5498.91,5590.59,
30,5589.05,5682.28,
31,5682.18,5776.92,
32,5778.5,5874.83,
34,5981.23,6080.94,
35,6087.94,6189.5,
36,6198.71,6275.0,end
37,6313.49,6418.72,
39,6580.0,6665.55,start
40,6684.84,6796.24,
41,6818.51,6865.0,end
43,7102.56,7160.0,end
45,7411.34,7534.83,
47,7748.18,7877.27,
51,8521.00,8667.00,
52,8741.47,8887.58,
