order,wave_start,wave_end,flag
12,4322.23,4394.80,
13,4377.68,4451.16,
14,4434.56,4508.98,
15,4492.93,4568.31,
16,4552.83,4629.22,
19,4742.60,4822.10,
20,4809.41,4890.02,
21,4878.15,4959.88,
22,4948.83,5031.74,
23,5021.62,5105.72,
24,5096.57,5181.92,
25,5173.83,5260.44,
26,5253.44,5341.38,
27,5335.51,5424.80,
28,5420.23,5510.90,
29,5507.64,5599.74,
30,5598.01,5691.63,
31,5691.23,5786.40,
32,5787.72,5884.46,
34,5990.82,6090.92,
35,6097.78,6199.65,
36,6208.70,6275.0,end
37,6323.62,6429.20,
39,6580.00,6676.47,start
40,6695.62,6807.33,
41,6829.52,6865.00,end
43,7114.02,7160.00,end
45,7423.30,7547.08,
47,7760.83,7890.28,
51,8536.89,8679.22,
52,8755.77,8901.69,
